period,respondent,respondent-name,type,type-name,value,value-units
2023-12-31T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43756,megawatthours
2023-12-30T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42061,megawatthours
2023-12-30T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41897,megawatthours
2023-12-30T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42288,megawatthours
2023-12-30T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42778,megawatthours
2023-12-30T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43768,megawatthours
2023-12-30T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45440,megawatthours
2023-12-30T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47772,megawatthours
2023-12-30T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50728,megawatthours
2023-12-30T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53032,megawatthours
2023-12-30T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52118,megawatthours
2023-12-30T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51380,megawatthours
2023-12-30T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49695,megawatthours
2023-12-30T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48365,megawatthours
2023-12-30T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47494,megawatthours
2023-12-30T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47091,megawatthours
2023-12-30T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46982,megawatthours
2023-12-30T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47254,megawatthours
2023-12-30T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47852,megawatthours
2023-12-30T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48753,megawatthours
2023-12-30T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49491,megawatthours
2023-12-30T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49703,megawatthours
2023-12-30T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49271,megawatthours
2023-12-30T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49080,megawatthours
2023-12-30T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47013,megawatthours
2023-12-29T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45218,megawatthours
2023-12-29T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44846,megawatthours
2023-12-29T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45681,megawatthours
2023-12-29T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46596,megawatthours
2023-12-29T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47881,megawatthours
2023-12-29T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49596,megawatthours
2023-12-29T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51775,megawatthours
2023-12-29T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54063,megawatthours
2023-12-29T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55757,megawatthours
2023-12-29T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55809,megawatthours
2023-12-29T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53756,megawatthours
2023-12-29T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51028,megawatthours
2023-12-29T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48676,megawatthours
2023-12-29T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47391,megawatthours
2023-12-29T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46944,megawatthours
2023-12-29T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47024,megawatthours
2023-12-29T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47078,megawatthours
2023-12-29T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47900,megawatthours
2023-12-29T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49172,megawatthours
2023-12-29T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50392,megawatthours
2023-12-29T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50758,megawatthours
2023-12-29T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50579,megawatthours
2023-12-29T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50436,megawatthours
2023-12-29T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48488,megawatthours
2023-12-28T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46535,megawatthours
2023-12-28T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45768,megawatthours
2023-12-28T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45723,megawatthours
2023-12-28T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46428,megawatthours
2023-12-28T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47244,megawatthours
2023-12-28T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48497,megawatthours
2023-12-28T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49956,megawatthours
2023-12-28T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51507,megawatthours
2023-12-28T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52748,megawatthours
2023-12-28T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52663,megawatthours
2023-12-28T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50854,megawatthours
2023-12-28T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48473,megawatthours
2023-12-28T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46644,megawatthours
2023-12-28T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45826,megawatthours
2023-12-28T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45292,megawatthours
2023-12-28T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45319,megawatthours
2023-12-28T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45665,megawatthours
2023-12-28T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46665,megawatthours
2023-12-28T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47663,megawatthours
2023-12-28T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49019,megawatthours
2023-12-28T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49512,megawatthours
2023-12-28T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49645,megawatthours
2023-12-28T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49303,megawatthours
2023-12-28T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47323,megawatthours
2023-12-27T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45131,megawatthours
2023-12-27T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44788,megawatthours
2023-12-27T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45066,megawatthours
2023-12-27T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45474,megawatthours
2023-12-27T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46407,megawatthours
2023-12-27T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47669,megawatthours
2023-12-27T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48637,megawatthours
2023-12-27T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49781,megawatthours
2023-12-27T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51439,megawatthours
2023-12-27T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51583,megawatthours
2023-12-27T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49924,megawatthours
2023-12-27T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47444,megawatthours
2023-12-27T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45296,megawatthours
2023-12-27T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44123,megawatthours
2023-12-27T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43770,megawatthours
2023-12-27T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43566,megawatthours
2023-12-27T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43924,megawatthours
2023-12-27T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45165,megawatthours
2023-12-27T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46406,megawatthours
2023-12-27T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47726,megawatthours
2023-12-27T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48395,megawatthours
2023-12-27T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48610,megawatthours
2023-12-27T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48689,megawatthours
2023-12-27T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46807,megawatthours
2023-12-26T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44630,megawatthours
2023-12-26T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44395,megawatthours
2023-12-26T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44857,megawatthours
2023-12-26T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45511,megawatthours
2023-12-26T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46440,megawatthours
2023-12-26T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47875,megawatthours
2023-12-26T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49540,megawatthours
2023-12-26T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50952,megawatthours
2023-12-26T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52116,megawatthours
2023-12-26T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51914,megawatthours
2023-12-26T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50067,megawatthours
2023-12-26T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47701,megawatthours
2023-12-26T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45680,megawatthours
2023-12-26T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44619,megawatthours
2023-12-26T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43979,megawatthours
2023-12-26T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44358,megawatthours
2023-12-26T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44821,megawatthours
2023-12-26T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45339,megawatthours
2023-12-26T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45798,megawatthours
2023-12-26T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46372,megawatthours
