Datetime,Energy_MW,Temperature,IsHoliday
2023-07-01 00:00:00,76384,28.3,0
2023-07-01 01:00:00,73862,26.8,0
2023-07-01 02:00:00,70570,26.5,0
2023-07-01 03:00:00,67978,26.2,0
2023-07-01 04:00:00,64727,26.0,0
2023-07-01 05:00:00,61032,25.8,0
2023-07-01 06:00:00,57522,25.3,0
2023-07-01 07:00:00,54516,25.6,0
2023-07-01 08:00:00,52490,26.4,0
2023-07-01 09:00:00,50773,28.2,0
2023-07-01 10:00:00,49501,28.9,0
2023-07-01 11:00:00,48801,31.6,0
2023-07-01 12:00:00,48686,33.3,0
2023-07-01 13:00:00,49133,35.4,0
2023-07-01 14:00:00,51910,35.4,0
2023-07-01 15:00:00,55733,37.2,0
2023-07-01 16:00:00,59778,36.5,0
2023-07-01 17:00:00,63511,37.4,0
2023-07-01 18:00:00,66114,35.4,0
2023-07-01 19:00:00,67475,35.5,0
2023-07-01 20:00:00,68548,33.0,0
2023-07-01 21:00:00,69535,30.6,0
2023-07-01 22:00:00,70079,29.7,0
2023-07-01 23:00:00,69841,28.4,0
2023-07-02 00:00:00,68357,27.2,0
2023-07-02 01:00:00,66304,26.2,0
2023-07-02 02:00:00,63946,26.2,0
2023-07-02 03:00:00,62104,26.0,0
2023-07-02 04:00:00,59047,26.2,0
2023-07-02 05:00:00,55905,26.2,0
2023-07-02 06:00:00,52870,25.8,0
2023-07-02 07:00:00,50394,26.2,0
2023-07-02 08:00:00,48484,26.7,0
2023-07-02 09:00:00,47210,27.7,0
2023-07-02 10:00:00,46305,30.3,0
2023-07-02 11:00:00,45867,32.0,0
2023-07-02 12:00:00,45557,33.5,0
2023-07-02 13:00:00,46113,34.1,0
2023-07-02 14:00:00,48524,33.7,0
2023-07-02 15:00:00,51975,34.9,0
2023-07-02 16:00:00,55349,35.6,0
2023-07-02 17:00:00,58440,34.7,0
2023-07-02 18:00:00,61924,34.0,0
2023-07-02 19:00:00,65011,33.2,0
2023-07-02 20:00:00,67468,32.7,0
2023-07-02 21:00:00,68924,30.8,0
2023-07-02 22:00:00,69614,30.7,0
2023-07-02 23:00:00,68702,29.6,0
2023-07-03 00:00:00,67485,28.5,0
2023-07-03 01:00:00,65911,28.0,0
2023-07-03 02:00:00,64107,28.4,0
2023-07-03 03:00:00,62543,28.0,0
2023-07-03 04:00:00,59375,27.5,0
2023-07-03 05:00:00,55938,26.9,0
2023-07-03 06:00:00,52648,26.2,0
2023-07-03 07:00:00,50334,25.0,0
2023-07-03 08:00:00,48808,26.4,0
2023-07-03 09:00:00,47863,28.8,0
2023-07-03 10:00:00,47641,30.0,0
2023-07-03 11:00:00,48225,32.1,0
2023-07-03 12:00:00,48763,33.4,0
2023-07-03 13:00:00,49717,35.5,0
2023-07-03 14:00:00,52995,35.6,0
2023-07-03 15:00:00,57036,34.7,0
2023-07-03 16:00:00,61373,35.1,0
2023-07-03 17:00:00,65632,34.8,0
2023-07-03 18:00:00,69223,35.7,0
2023-07-03 19:00:00,72340,34.7,0
2023-07-03 20:00:00,74328,33.6,0
2023-07-03 21:00:00,75414,31.7,0
2023-07-03 22:00:00,75442,29.5,0
2023-07-03 23:00:00,75203,29.2,0
2023-07-04 00:00:00,73820,28.3,1
2023-07-04 01:00:00,71021,28.3,1
2023-07-04 02:00:00,67965,27.2,1
2023-07-04 03:00:00,65029,27.0,1
2023-07-04 04:00:00,61186,26.1,1
2023-07-04 05:00:00,57537,25.8,1
2023-07-04 06:00:00,54317,25.3,1
2023-07-04 07:00:00,51487,25.0,1
2023-07-04 08:00:00,49414,26.0,1
2023-07-04 09:00:00,48077,27.5,1
2023-07-04 10:00:00,47356,27.9,1
2023-07-04 11:00:00,47194,28.8,1
2023-07-04 12:00:00,46937,29.8,1
2023-07-04 13:00:00,47364,30.8,1
